Date,Open,High,Low,Close,Volume,Adj Close
2000-09-11,26.3125,26.375,25.625,26.00,5650300,18.686981
2000-09-08,26.4375,26.4375,25.75,26.00,8575700,18.686981
2000-09-07,26.25,26.9375,25.8125,25.875,12621700,18.59714
2000-09-06,26.8125,27.125,25.875,26.0625,12544000,18.731901
2000-09-05,25.875,26.50,25.5625,26.375,17976000,18.956505
2000-09-01,24.4375,25.125,23.875,25.00,20010900,17.968251
2000-08-31,25.5625,25.625,23.8125,24.1875,28452400,17.384283
2000-08-30,25.00,26.3125,25.00,25.875,11231400,18.59714
2000-08-29,26.5625,26.5625,25.125,25.25,11265600,18.147933
2000-08-28,27.375,27.50,25.875,26.1875,10308700,18.821743
2000-08-25,28.00,28.0625,27.375,27.625,4074800,19.854917
2000-08-24,27.4375,28.25,27.3125,27.75,4731000,19.944758
2000-08-23,27.50,27.50,27.00,27.375,4598600,19.675235
2000-08-22,28.00,28.3125,27.50,28.00,8843100,20.124441
2000-08-21,27.75,27.875,26.4375,27.25,7563500,19.585393
2000-08-18,27.3125,27.8125,27.3125,27.75,6111000,19.944758
2000-08-17,27.875,27.9375,26.9375,27.0625,8040300,19.450632
2000-08-16,28.50,28.875,27.625,28.3125,8555500,20.349044
2000-08-15,29.0625,29.0625,28.25,28.4375,12569900,20.438885
2000-08-14,29.25,29.4375,28.9375,29.00,7885100,20.843171
2000-08-11,29.4375,29.50,28.8125,29.125,5898500,20.933012
2000-08-10,29.50,29.50,28.6875,29.50,8441500,21.202536
2000-08-09,29.8125,29.875,29.25,29.50,11234400,21.202536
2000-08-08,29.1875,29.5625,29.00,29.50,2360400,21.202536
2000-08-07,28.75,29.1875,28.25,29.1875,2227500,20.977933
2000-08-04,29.25,30.00,28.625,29.125,3573300,20.933012
2000-08-03,26.50,29.50,26.50,29.25,4573200,21.022853
2000-08-02,47.000134,47.000134,45.812631,46.562636,3847200,19.143372
2000-08-01,46.625132,46.875141,46.562636,46.875141,6289700,19.271853
2000-07-31,46.062637,46.750128,46.000141,46.562636,5417000,19.143372
2000-07-28,46.562636,46.687632,45.937624,46.125137,3790200,18.963503
2000-07-27,46.812641,47.187627,46.375126,47.000134,6202600,19.323242
2000-07-26,47.31264,47.31264,46.062637,46.750128,10221900,19.220456
2000-07-25,46.875141,47.875134,46.875141,47.31264,5017400,19.451722
2000-07-24,46.875141,47.31264,46.25013,46.812641,8316000,19.246157
2000-07-21,47.500132,47.812638,47.250143,47.375136,4898700,19.271852
2000-07-20,47.562629,48.000147,47.250143,47.375136,4307100,19.271852
2000-07-19,46.812641,48.625138,46.812641,47.437636,6520300,19.297277
2000-07-18,46.625132,47.500132,45.875128,46.937638,5234700,19.093881
2000-07-17,47.500132,47.500132,45.750135,46.343886,4898700,18.852348
2000-07-14,48.18764,48.250136,47.250143,47.500132,4141600,19.3227
2000-07-13,48.12514,48.312633,47.562629,48.18764,4340300,19.602373
2000-07-12,47.687642,48.375129,47.000134,48.312633,4678400,19.653219
2000-07-11,46.750128,47.937631,46.750128,47.812638,4405900,19.449825
2000-07-10,46.875141,47.12513,46.25013,46.750128,4043000,19.017604
2000-07-07,46.25013,46.500139,45.687635,46.25013,5288900,18.814208
2000-07-06,45.250137,47.187627,45.125124,46.31263,8740300,18.839633
2000-07-05,43.625132,45.500126,43.562619,44.812638,7018500,18.229447
2000-07-03,43.125117,44.250127,43.125117,43.937621,2500400,17.873497
2000-06-30,42.687619,43.562619,42.562626,43.000124,6842000,17.49213
2000-06-29,42.000111,44.000118,42.000111,43.25013,6422000,17.593831
